Press_Altitude(m),Pressure(hPa),BME_Temp(C),Humidity(%),Gas(KOhms),TMP117_Temp(C),Battery_Voltage,TimeSinceStart
9168.94,300.12,-11.53,40.23,82.56,-9.6094,0.79,4561813
9185.03,299.44,-11.59,40.19,82.8,-9.6484,0.79,4566818
9204.28,298.63,-11.64,40.61,82.88,-9.6953,0.8,4571815
9223.12,297.78,-11.7,40.44,82.8,-9.7422,0.79,4576817
9240.44,296.98,-11.75,40.19,83.05,-9.7969,0.8,4581818
9256.66,296.23,-11.81,40.58,83.37,-9.8516,0.8,4586819
9271.56,295.56,-11.87,40.35,83.37,-9.9062,0.81,4591820
9286.26,294.91,-11.92,40.54,83.29,-9.9453,0.81,4596826
9301.21,294.25,-11.98,40.34,83.46,-10.0078,0.81,4601825
9315.74,293.59,-12.04,40.44,83.54,-10.0547,0.81,4606824
9330.06,292.96,-12.09,40.08,83.87,-10.1172,0.81,4611825
9343.95,292.34,-12.15,40.42,83.96,-10.1484,0.82,4616826
9358.1,291.72,-12.21,40.14,84.13,-10.2187,0.82,4621828
9372.27,291.11,-12.27,40.43,84.04,-10.2578,0.82,4626833
9386,290.5,-12.33,40.36,83.87,-10.3281,0.82,4631830
9399.77,289.9,-12.39,40.3,84.13,-10.3594,0.82,4636831
9413.31,289.3,-12.45,40.3,84.38,-10.4219,0.83,4641835
9427.12,288.71,-12.51,39.93,84.29,-10.4844,0.81,4646834
9440.26,288.12,-12.57,40.31,84.46,-10.5391,0.82,4651835
9453.64,287.56,-12.63,39.89,84.8,-10.5937,0.82,4656840
9466.82,286.98,-12.69,40.16,85.06,-10.6406,0.83,4661837
9479.79,286.41,-12.76,40.26,85.15,-10.6953,0.83,4666839
9493.01,285.85,-12.82,39.83,85.23,-10.75,0.83,4671840
9506.25,285.28,-12.89,40.12,85.41,-10.8125,0.83,4676841
9519.52,284.71,-12.95,39.79,85.58,-10.875,0.83,4681842
9533.03,284.14,-13.01,39.99,85.58,-10.9141,0.83,4686852
9546.57,283.55,-13.07,40.17,85.41,-10.9687,0.84,4691845
9560.14,282.97,-13.13,39.74,85.67,-11.0234,0.83,4696846
9573.49,282.4,-13.2,39.88,85.93,-11.0781,0.84,4701847
9587.33,281.82,-13.26,39.71,85.76,-11.1406,0.83,4706848
9600.72,281.24,-13.32,39.72,85.93,-11.1953,0.84,4711849
9614.14,280.67,-13.38,39.7,86.02,-11.2578,0.86,4716855
9627.11,280.11,-13.44,39.68,86.11,-11.2969,0.84,4721852
9639.86,279.56,-13.5,40.05,86.37,-11.3516,0.85,4726853
9653.82,279,-13.56,39.67,85.84,-11.4219,0.85,4731856
9667.09,278.42,-13.62,39.96,86.46,-11.4766,0.86,4736856
9680.85,277.85,-13.68,39.84,86.91,-11.5156,0.85,4741857
9694.4,277.28,-13.74,39.65,86.64,-11.5703,0.85,4746862
9707.98,276.71,-13.8,40.01,86.82,-11.625,0.86,4751859
9721.81,276.13,-13.86,39.58,86.29,-11.6797,0.85,4756860
9735.19,275.56,-13.91,39.9,86.82,-11.7266,0.86,4761862
9748.35,275.01,-13.97,39.85,87.27,-11.7812,0.86,4766863
9761.77,274.45,-14.03,39.78,86.82,-11.8281,0.86,4771866
9775.46,273.9,-14.09,40.01,87,-11.8828,0.88,4776869
9789.65,273.31,-14.15,39.58,86.91,-11.9297,0.85,4781867
9803.86,272.72,-14.21,39.95,87.36,-11.9844,0.86,4786868
9818.35,272.12,-14.27,39.54,87,-12.0391,0.86,4791869
9832.37,271.54,-14.33,39.83,87.54,-12.0781,0.87,4796870
9846.66,270.94,-14.39,39.49,88,-12.1562,0.87,4801871
9860.98,270.36,-14.45,39.55,87.72,-12.2031,0.87,4806877
9874.59,269.78,-14.51,39.91,87.45,-12.2578,0.87,4811874
9888.95,269.2,-14.57,39.51,87.36,-12.3047,0.87,4816877
9902.61,268.63,-14.63,39.9,87.91,-12.3594,0.86,4821876
9916.78,268.06,-14.68,39.89,87.45,-12.4062,0.89,4826877
9931.47,267.48,-14.74,39.42,87.82,-12.4453,0.87,4831879
9946.18,266.87,-14.8,39.62,88,-12.5,0.88,4836884
9960.67,266.27,-14.85,39.87,88.09,-12.5547,0.87,4841881
9975.19,265.68,-14.91,39.45,88.28,-12.6094,0.88,4846882
9989.49,265.1,-14.97,39.85,88.37,-12.6641,0.9,4851884
10004.8,264.5,-15.02,39.42,88.28,-12.7109,0.88,4856885
10019.4,263.9,-15.08,39.81,88.56,-12.7734,0.89,4861888
10034.03,263.31,-15.14,39.74,88.19,-12.8203,0.9,4866893
10048.92,262.71,-15.2,39.52,88.65,-12.875,0.89,4871888
10063.85,262.11,-15.26,39.74,88.74,-12.9297,0.89,4876890
10078.31,261.52,-15.31,39.32,89.59,-12.9687,0.88,4881891
10093.04,260.93,-15.37,39.72,88.84,-13.0391,0.9,4886892
10108.3,260.34,-15.43,39.62,88.84,-13.0781,0.88,4891893
10123.59,259.73,-15.49,39.29,89.21,-13.1484,0.9,4896901
10138.91,259.11,-15.56,39.56,89.12,-13.1953,0.91,4901898
10154.01,258.5,-15.62,39.26,89.31,-13.25,0.91,4906897
10169.39,257.91,-15.68,39.4,89.21,-13.2969,0.9,4911898
10184.79,257.28,-15.74,39.62,89.5,-13.375,0.93,4916899
10200.48,256.68,-15.8,39.15,89.12,-13.4141,0.9,4921901
10216.2,256.06,-15.86,39.59,89.31,-13.4766,0.92,4926908
10231.95,255.44,-15.93,39.17,89.4,-13.5391,0.91,4931903
10247.22,254.83,-15.99,39.43,89.21,-13.5781,0.91,4936904
10262.53,254.23,-16.05,39.28,89.79,-13.625,0.9,4941905
10278.62,253.62,-16.1,39.2,89.98,-13.6797,0.9,4946909
10294.75,252.98,-16.16,39.52,89.79,-13.75,0.92,4951908
10311.17,252.35,-16.22,39.1,89.59,-13.8047,0.9,4956913
10326.6,251.73,-16.28,39.42,90.17,-13.8516,0.91,4961910
10342.57,251.12,-16.34,39.07,90.07,-13.9219,0.91,4966912
10359.86,250.47,-16.4,39.34,90.07,-13.9687,0.92,4971913
10377.71,249.79,-16.46,39.43,90.07,-14.0156,0.93,4976914
10396.12,249.08,-16.52,39.02,90.85,-14.0781,0.93,4981915
10413.79,248.39,-16.58,39.21,90.37,-14.1172,0.93,4986927
10430.98,247.73,-16.64,39.4,90.17,-14.1719,0.92,4991918
10448.2,247.07,-16.7,39.04,90.37,-14.2422,0.92,4996919
10465.47,246.41,-16.75,39.28,90.95,-14.2812,0.95,5001920
10482.24,245.75,-16.82,38.95,91.25,-14.3437,0.94,5006921
10498,245.14,-16.88,39.34,90.66,-14.3984,0.94,5011922
10513,244.56,-16.93,39.23,90.76,-14.4453,0.93,5016930
10529.35,243.96,-16.99,38.97,90.95,-14.5,0.93,5021925
10545.2,243.35,-17.06,39.28,91.45,-14.5547,0.94,5026926
10561.62,242.74,-17.12,39.12,91.05,-14.6016,0.94,5031929
10577.54,242.13,-17.18,38.93,90.95,-14.6562,0.94,5036929
10593.75,241.53,-17.24,39.14,91.55,-14.7187,0.95,5041930
10609.46,240.93,-17.3,38.8,91.45,-14.7656,0.95,5046937
10626.01,240.32,-17.36,39.07,91.55,-14.8359,0.98,5051932
10642.33,239.7,-17.42,38.8,91.35,-14.8906,0.94,5056933
10658.14,239.1,-17.48,38.92,91.45,-14.9219,0.95,5061935
10673.45,238.53,-17.54,39.14,91.45,-14.9844,0.94,5066936
10689.59,237.94,-17.6,38.72,91.75,-15.0547,0.94,5071939
10704.96,237.35,-17.67,39.04,91.95,-15.1016,0.95,5076944
10721.17,236.77,-17.73,38.76,92.25,-15.1562,0.97,5081939
10736.87,236.18,-17.79,38.65,92.45,-15.2031,0.97,5086941
10752.06,235.6,-17.85,38.7,91.45,-15.2734,0.97,5091942
10766.73,235.06,-17.91,38.6,92.45,-15.3359,0.95,5096943
10781.16,234.53,-17.97,38.97,93.38,-15.375,0.97,5101944
10796.16,233.99,-18.03,38.8,91.25,-15.4453,0.97,5106952
10811.19,233.43,-18.1,38.64,93.17,-15.4922,0.97,5111947
10826.25,232.89,-18.16,38.78,94,-15.5625,0.97,5116950
10841.61,232.33,-18.22,38.5,93.27,-15.6094,0.97,5121949
10856.73,231.78,-18.29,38.85,91.85,-15.6562,0.97,5126950
10871.87,231.23,-18.35,38.42,94.21,-15.7266,0.96,5131952
10886.49,230.69,-18.42,38.69,93.17,-15.7969,0.98,5136959
10900.87,230.16,-18.48,38.78,93.07,-15.8281,0.97,5141954
10915.82,229.63,-18.54,38.35,92.45,-15.8984,0.97,5146955
10929.97,229.11,-18.61,38.64,93.69,-15.9609,0.98,5151956
10944.43,228.59,-18.67,38.66,92.86,-16.0156,0.98,5156958
10958.9,228.07,-18.73,38.34,93.27,-16.0625,0.98,5161959
10972.85,227.57,-18.8,38.58,92.86,-16.125,0.99,5166964
10987.66,227.05,-18.86,38.45,93.38,-16.1797,0.99,5171961
11002.22,226.53,-18.92,38.28,93.07,-16.2422,0.99,5176963
11016.53,226.01,-18.99,38.63,93.69,-16.3047,0.99,5181964
11030.86,225.5,-19.05,38.26,93.69,-16.3594,0.99,5186965
11044.94,224.99,-19.12,38.58,93.58,-16.4219,0.99,5191966
11059.04,224.5,-19.18,38.23,93.69,-16.4922,1,5196972
11072.6,224.01,-19.25,38.51,94.11,-16.5469,0.99,5201971
11086.19,223.52,-19.31,38.39,94.21,-16.6172,1,5206970
11100.08,223.04,-19.38,38.32,94.11,-16.6719,1,5211971
11114.85,222.53,-19.44,38.44,94.53,-16.7266,1.01,5216972
11129.65,222.01,-19.51,38.18,94.64,-16.7734,1,5221974
11143.91,221.5,-19.57,38.37,94.32,-16.8359,1,5226979
11158.19,221.01,-19.64,38.04,93.48,-16.8828,1.01,5231976
11172.22,220.51,-19.7,38.02,95.07,-16.9531,1,5236977
11185.97,220.03,-19.76,38.19,94.96,-17,1.02,5241978
11199.76,219.54,-19.83,37.86,94.85,-17.0703,1.01,5246980
11213.28,219.07,-19.89,37.97,95.39,-17.1016,1.01,5251981
11225.96,218.62,-19.96,38.24,95.5,-17.1797,1.01,5256988
11239.24,218.17,-20.02,37.8,95.18,-17.2422,1.01,5261983
11251.96,217.72,-20.09,37.86,94.11,-17.2812,1.02,5266984
11265.28,217.27,-20.16,38.14,95.5,-17.3359,1.02,5271986
11278.92,216.81,-20.22,37.79,94,-17.3984,1.02,5276987
11292,216.34,-20.29,37.98,93.9,-17.4766,1.03,5281988
11305.1,215.89,-20.36,37.95,95.5,-17.5547,1.02,5286998
11318.81,215.44,-20.43,37.95,93.61,-17.5937,1.03,5291991
11333.7,214.94,-20.49,37.89,94,-17.6484,1.04,5296992
11348.63,214.44,-20.56,37.74,94,-17.7031,1.03,5301993
11363,213.94,-20.62,37.96,93.51,-17.7578,1.03,5306994
11377.7,213.44,-20.69,37.48,94.24,-17.8359,1.04,5311995
11393.3,212.92,-20.76,37.57,93.98,-17.8906,1.04,5317001
11408.93,212.39,-20.83,37.87,93.77,-17.9531,1.04,5321998
11425.19,211.85,-20.89,37.45,94.56,-18,1.04,5326999
11440.89,211.31,-20.96,37.82,94.19,-18.0547,1.05,5332000
11456.92,210.78,-21.02,37.34,94.35,-18.1094,1.04,5337001
11472.38,210.25,-21.09,37.77,94.77,-18.1641,1.05,5342003
11488.18,209.72,-21.15,37.38,94.03,-18.2344,1.04,5347008
11504.01,209.19,-21.22,37.52,95.04,-18.2734,1.05,5352005
11519.87,208.66,-21.28,37.46,94.82,-18.3516,1.04,5357006
11535.76,208.13,-21.35,37.22,94.98,-18.4141,1.04,5362008
11551.09,207.61,-21.42,37.26,95.04,-18.4687,1.05,5367009
11565.84,207.11,-21.49,37.62,95.25,-18.5391,1.06,5372012
11581.52,206.59,-21.55,37.32,95.69,-18.6016,1.06,5377015
11596.33,206.11,-21.62,37.46,95.96,-18.6641,1.06,5382012
11611.48,205.61,-21.69,37.17,95.52,-18.7422,1.06,5387014
11626.04,205.12,-21.77,37.1,95.69,-18.7891,1.07,5392015
11640.94,204.63,-21.84,37.37,95.69,-18.8594,1.07,5397016
11655.56,204.14,-21.91,36.99,96.4,-18.9219,1.08,5402017
11670.21,203.66,-21.99,37.31,96.51,-18.9844,1.08,5407023
11684.89,203.18,-22.06,37.31,96.29,-19.0469,1.08,5412020
11699.59,202.7,-22.13,37.26,96.51,-19.125,1.08,5417023
11715.25,202.21,-22.2,36.93,96.9,-19.1719,1.09,5422022
11731.24,201.7,-22.27,36.87,96.73,-19.2266,1.08,5427023
11747.89,201.16,-22.34,37.11,96.57,-19.2891,1.08,5432025
11763.95,200.63,-22.41,36.79,96.07,-19.3594,1.08,5437030
11779.74,200.12,-22.48,37,96.96,-19.4219,1.08,5442027
11796.49,199.59,-22.55,37.1,97.52,-19.5,1.09,5447028
11814.83,199.03,-22.62,36.7,96.96,-19.5469,1.08,5452029
11831.97,198.46,-22.69,37.01,96.79,-19.6016,1.1,5457033
11849.15,197.91,-22.76,36.62,97.69,-19.6562,1.09,5462032
11865.74,197.37,-22.83,36.85,97.18,-19.7266,1.09,5467037
11882.05,196.84,-22.9,36.97,97.8,-19.7734,1.09,5472034
11899.35,196.31,-22.97,36.53,97.8,-19.8359,1.09,5477036
11916.68,195.75,-23.04,36.61,97.41,-19.8906,1.08,5482037
11934.37,195.2,-23.11,36.51,98.03,-19.9687,1.09,5487038
11951.78,194.64,-23.18,36.45,97.69,-20.0234,1.1,5492039
11969.23,194.1,-23.25,36.72,97.24,-20.0781,1.1,5497044
11985.77,193.57,-23.32,36.41,97.75,-20.1484,1.1,5502044
12002.66,193.04,-23.39,36.65,98.2,-20.2109,1.1,5507043
12018.31,192.53,-23.46,36.71,97.97,-20.2734,1.11,5512044
12034.63,192.03,-23.53,36.56,98.9,-20.3359,1.1,5517045
12050.35,191.54,-23.6,36.34,98.43,-20.4062,1.12,5522046
12065.45,191.05,-23.67,36.41,98.55,-20.4609,1.1,5527052
12080.59,190.58,-23.74,36.41,98.26,-20.5156,1.1,5532049
12095.43,190.12,-23.81,36.56,99.36,-20.5781,1.12,5537050
12111.27,189.64,-23.88,36.38,98.61,-20.6562,1.12,5542053
12125.85,189.17,-23.95,36.52,98.9,-20.7031,1.13,5547053
12141.11,188.71,-24.02,36.31,99.13,-20.7891,1.13,5552054
12156.72,188.23,-24.09,36.1,99.19,-20.8437,1.13,5557059
12171.39,187.78,-24.17,36.46,99.72,-20.9062,1.13,5562056
12186.74,187.31,-24.24,36.42,99.9,-20.9687,1.13,5567055
12202.12,186.84,-24.31,36.36,99.54,-21.0234,1.13,5572057
12217.21,186.38,-24.39,36.22,99.78,-21.1016,1.13,5577058
12232.32,185.92,-24.46,36.28,100.07,-21.1562,1.13,5582061
12247.79,185.45,-24.53,35.88,100.31,-21.2187,1.13,5587070
12263.3,184.98,-24.59,36.13,99.66,-21.2812,1.13,5592061
12278.17,184.53,-24.67,36.17,100.25,-21.3516,1.13,5597065
12293.74,184.06,-24.74,35.87,100.49,-21.4062,1.13,5602066
12308.35,183.61,-24.81,36.15,100.43,-21.4687,1.14,5607067
12323.98,183.16,-24.88,35.72,100.43,-21.5391,1.14,5612068
12339.31,182.69,-24.95,35.99,100.49,-21.5937,1.15,5617074
12355,182.22,-25.02,36.09,100.85,-21.6641,1.15,5622071
12371.07,181.75,-25.09,35.73,100.37,-21.7266,1.14,5627074
12387.5,181.27,-25.16,35.88,101.22,-21.7812,1.15,5632073
12403.3,180.78,-25.23,35.8,100.91,-21.8437,1.15,5637074
12419.8,180.31,-25.3,35.53,101.1,-21.9062,1.15,5642076
12434.99,179.83,-25.36,35.93,101.34,-21.9531,1.15,5647081
12451.22,179.37,-25.43,35.68,101.46,-22.0234,1.15,5652078
12467.16,178.89,-25.5,35.74,101.65,-22.0781,1.15,5657079
12483.12,178.42,-25.57,35.41,101.89,-22.1562,1.16,5662081
12498.44,177.96,-25.64,35.7,102.08,-22.2187,1.17,5667082
12513.79,177.52,-25.7,35.78,102.08,-22.2734,1.17,5672083
12529.51,177.06,-25.77,35.34,102.39,-22.3281,1.17,5677088
12544.93,176.61,-25.84,35.64,102.7,-22.3906,1.17,5682085
12560.71,176.15,-25.9,35.3,102.2,-22.4531,1.17,5687087
12576.19,175.69,-25.97,35.56,102.64,-22.5,1.18,5692088
12590.32,175.26,-26.04,35.63,102.51,-22.5781,1.18,5697089
12604.48,174.85,-26.1,35.5,103.08,-22.6172,1.18,5702090
12619.36,174.43,-26.16,35.23,102.39,-22.6797,1.18,5707096
12633.92,174.01,-26.23,35.15,103.4,-22.7266,1.18,5712097
12647.81,173.61,-26.29,35.48,103.78,-22.7891,1.18,5717094
12661.73,173.21,-26.35,35.24,102.89,-22.8437,1.19,5722095
12675.67,172.81,-26.41,35.09,103.46,-22.9062,1.19,5727096
12689.64,172.41,-26.48,35.38,102.95,-22.9844,1.19,5732098
12703.64,172,-26.54,35.07,103.4,-23.0234,1.19,5737105
12718.01,171.6,-26.6,35.36,103.72,-23.0703,1.19,5742100
12732.07,171.19,-26.66,35.06,103.52,-23.1484,1.19,5747101
12745.44,170.8,-26.72,35.15,103.52,-23.1875,1.2,5752104
12759.19,170.42,-26.77,35.29,103.4,-23.2266,1.21,5757104
12771.9,170.05,-26.83,35.4,103.46,-23.2656,1.2,5762105
12785.7,169.67,-26.88,35.35,103.84,-23.3203,1.21,5767110
12800.24,169.28,-26.93,34.99,103.27,-23.3672,1.2,5772107
12813.73,168.88,-26.98,35.3,102.95,-23.4141,1.21,5777108
12827.97,168.48,-27.03,35.19,103.27,-23.4531,1.2,5782110
12842.23,168.08,-27.08,35.27,104.23,-23.5,1.21,5787111
12856.16,167.69,-27.13,35.35,103.52,-23.5391,1.21,5792112
12870.83,167.28,-27.18,34.95,103.33,-23.5937,1.21,5797122
12884.46,166.9,-27.22,35.24,103.97,-23.6328,1.21,5802115
12898.83,166.5,-27.27,35,103.97,-23.6875,1.21,5807116
12912.51,166.11,-27.31,35.06,103.33,-23.7109,1.22,5812117
12926.57,165.73,-27.36,35.37,103.27,-23.7578,1.22,5817118
12942.11,165.31,-27.4,34.91,104.04,-23.7969,1.21,5822119
12956.59,164.91,-27.44,35.32,104.36,-23.8359,1.22,5827125
12972.19,164.49,-27.48,34.9,104.23,-23.875,1.23,5832122
12986.73,164.08,-27.52,35.15,103.84,-23.8984,1.23,5837135
13000.94,163.67,-27.55,35.35,103.59,-23.9375,1.23,5842124
13015.9,163.27,-27.59,34.94,104.29,-23.9766,1.23,5847126
13030.9,162.86,-27.63,35.34,104.29,-24,1.23,5852127
13047.03,162.44,-27.66,35.06,103.59,-24.0469,1.23,5857132
13062.45,162.01,-27.7,35.39,103.72,-24.0625,1.24,5862129
13078.65,161.58,-27.73,35.29,104.29,-24.0937,1.25,5867130
13094.15,161.15,-27.76,35.12,104.29,-24.125,1.24,5872132
13109.3,160.74,-27.79,35.41,103.65,-24.1562,1.24,5877133
13124.49,160.33,-27.82,34.97,103.27,-24.1875,1.24,5882134
13139.33,159.92,-27.85,35.29,103.02,-24.2031,1.24,5887139
13154.58,159.53,-27.88,35.39,103.65,-24.25,1.25,5892136
13168.74,159.13,-27.9,35.26,103.72,-24.2812,1.25,5897138
13183.31,158.74,-27.93,35.44,103.33,-24.2969,1.25,5902139
13198.28,158.34,-27.96,35.36,103.46,-24.3359,1.25,5907140
13213.27,157.94,-27.99,35.23,103.33,-24.3594,1.25,5912141
13228.68,157.54,-28.01,35.42,103.52,-24.3828,1.25,5917147
13243.74,157.13,-28.04,35.06,103.72,-24.4297,1.26,5922146
13258.83,156.73,-28.07,35.42,103.27,-24.4375,1.26,5927145
13274.33,156.33,-28.09,35.18,103.78,-24.4766,1.26,5932146
13288.73,155.93,-28.12,35.46,103.52,-24.5156,1.26,5937147
13303.53,155.55,-28.15,35.1,104.17,-24.5234,1.26,5942149
13318.37,155.16,-28.17,35.42,104.29,-24.5625,1.26,5947154
13333.61,154.77,-28.2,35.07,103.91,-24.5781,1.26,5952151
13347.75,154.39,-28.22,35.53,103.33,-24.6016,1.26,5957152
13361.91,154.02,-28.24,35.41,103.4,-24.625,1.26,5962156
13375.71,153.65,-28.26,35.55,102.51,-24.6484,1.27,5967155
13389.54,153.28,-28.28,35.58,103.84,-24.6719,1.27,5972156
13404.55,152.91,-28.31,35.18,104.23,-24.7187,1.27,5977161
13418.82,152.53,-28.33,35.48,103.46,-24.7187,1.28,5982158
13433.89,152.15,-28.35,35.22,103.52,-24.7656,1.28,5987160
13447.83,151.78,-28.37,35.23,103.72,-24.7656,1.28,5992161
13462.57,151.41,-28.4,35.19,103.21,-24.8125,1.28,5997162
13476.57,151.03,-28.42,35.37,104.36,-24.8281,1.28,6002163
13490.98,150.66,-28.45,35.58,103.84,-24.8516,1.28,6007173
13505.42,150.3,-28.47,35.64,103.78,-24.875,1.28,6012166
13519.89,149.93,-28.49,35.25,103.72,-24.8984,1.28,6017167
13534.39,149.56,-28.5,35.68,103.91,-24.9141,1.29,6022168
13548.92,149.19,-28.52,35.28,103.59,-24.9531,1.3,6027169
13563.48,148.83,-28.54,35.36,103.52,-24.9453,1.29,6032171
13577.27,148.46,-28.55,35.31,103.14,-24.9687,1.3,6037176
13590.31,148.12,-28.57,35.73,103.21,-24.9844,1.3,6042173
13603.36,147.79,-28.59,35.71,103.65,-25.0078,1.3,6047176
13617.24,147.45,-28.6,35.32,103.02,-25.0234,1.29,6052175
13630.35,147.12,-28.62,35.75,103.65,-25.0312,1.3,6057177
13644.27,146.77,-28.63,35.4,103.4,-25.0625,1.3,6062178
13657.83,146.43,-28.64,35.66,103.59,-25.0625,1.3,6067183
13672.21,146.07,-28.65,35.39,103.33,-25.1016,1.3,6072180
13685.41,145.74,-28.67,35.52,103.78,-25.1016,1.3,6077181
13698.24,145.41,-28.68,35.65,103.33,-25.1094,1.3,6082183
13711.49,145.08,-28.69,35.54,103.52,-25.1406,1.31,6087184
13725.18,144.75,-28.71,35.76,103.52,-25.1484,1.31,6092185
13739.29,144.4,-28.72,35.4,103.65,-25.1719,1.31,6097190
13753.83,144.05,-28.73,35.75,103.72,-25.1719,1.3,6102188
13768.4,143.68,-28.74,35.63,103.65,-25.1875,1.31,6107189
13782.6,143.34,-28.75,35.53,103.33,-25.2031,1.3,6112190
13796.42,142.99,-28.76,35.67,103.46,-25.2109,1.31,6117191
13810.67,142.64,-28.77,35.47,103.21,-25.2422,1.31,6122192
13824.13,142.31,-28.78,35.5,103.33,-25.2578,1.31,6127198
13838.03,141.96,-28.8,35.65,103.59,-25.2812,1.31,6132197
13851.54,141.63,-28.81,35.35,103.59,-25.2812,1.31,6137196
13865.08,141.29,-28.82,35.74,103.46,-25.3047,1.32,6142197
13878.65,140.97,-28.83,35.36,103.65,-25.3125,1.31,6147198
13891.83,140.65,-28.84,35.81,103.91,-25.3281,1.32,6152200
13905.03,140.32,-28.85,35.42,103.91,-25.3516,1.32,6157205
13918.67,140.01,-28.86,35.58,103.78,-25.3594,1.32,6162202
13932.35,139.68,-28.88,35.52,103.21,-25.3828,1.33,6167203
13945.21,139.35,-28.89,35.75,103.4,-25.3828,1.33,6172207
13958.51,139.03,-28.9,35.81,103.4,-25.4062,1.33,6177206
13971.84,138.72,-28.91,35.37,104.04,-25.4219,1.33,6182207
13986.03,138.38,-28.92,35.49,103.78,-25.4297,1.33,6187212
13998.15,138.07,-28.93,35.69,103.72,-25.4531,1.33,6192209
14011.55,137.76,-28.94,35.78,103.27,-25.4531,1.33,6197211
14025.4,137.44,-28.96,35.68,103.52,-25.4844,1.33,6202212
14040.54,137.1,-28.97,35.36,103.97,-25.5,1.33,6207213
14054.44,136.76,-28.98,35.75,103.52,-25.5078,1.33,6212214
14068.37,136.42,-28.99,35.41,104.17,-25.5391,1.33,6217224
14081.91,136.1,-29,35.55,104.75,-25.5547,1.34,6222217
14095.89,135.77,-29.01,35.6,104.17,-25.5703,1.34,6227218
14110.33,135.43,-29.02,35.3,104.17,-25.5859,1.34,6232219
14124.37,135.11,-29.03,35.61,103.84,-25.5937,1.34,6237220
14138.44,134.76,-29.04,35.31,103.97,-25.6016,1.33,6242222
14152.11,134.44,-29.05,35.24,104.17,-25.6328,1.35,6247227
14166.66,134.12,-29.07,35.48,103.91,-25.6484,1.34,6252224
14180.81,133.79,-29.08,35.26,104.17,-25.6641,1.34,6257227
14194.57,133.46,-29.09,35.53,104.68,-25.6797,1.35,6262226
14208.35,133.14,-29.1,35.23,104.23,-25.6953,1.34,6267228
14222.15,132.82,-29.12,35.66,103.97,-25.7109,1.35,6272229
14236.85,132.48,-29.13,35.32,103.97,-25.7344,1.35,6277234
14251.57,132.15,-29.14,35.32,104.49,-25.7422,1.35,6282231
14265.03,131.82,-29.16,35.26,103.78,-25.7656,1.35,6287233
14280.25,131.49,-29.17,35.44,104.43,-25.7812,1.35,6292234
14296.38,131.13,-29.18,35.31,104.82,-25.7812,1.35,6297235
14313.86,130.75,-29.2,35.18,104.36,-25.8125,1.35,6302236
14330.06,130.36,-29.21,35.47,104.62,-25.8281,1.37,6307241
14346.31,130,-29.22,35.31,104.68,-25.8437,1.35,6312239
14364.35,129.6,-29.24,35.05,105.08,-25.8672,1.36,6317240
14381.56,129.2,-29.25,35.14,104.29,-25.875,1.37,6322241
14397.03,128.83,-29.27,35.06,104.49,-25.9062,1.36,6327242
14412.1,128.49,-29.28,35.38,104.62,-25.9141,1.36,6332243
14426.75,128.15,-29.29,35.42,105.41,-25.9297,1.37,6337249
14441.88,127.81,-29.31,35.16,104.23,-25.9531,1.37,6342248
14457.05,127.48,-29.32,35.31,104.36,-25.9609,1.37,6347247
14472.24,127.14,-29.34,34.89,104.43,-26,1.36,6352248
14487.02,126.8,-29.36,35.17,105.27,-26.0156,1.37,6357250
14501.83,126.48,-29.37,34.84,105.47,-26.0469,1.37,6362251
14515.78,126.15,-29.39,35.14,104.75,-26.0703,1.37,6367256
14530.65,125.83,-29.41,34.79,104.68,-26.0781,1.37,6372253
14544.2,125.52,-29.43,34.89,104.75,-26.1094,1.37,6377254
14557.77,125.22,-29.45,35.21,104.62,-26.125,1.37,6382260
14571.83,124.91,-29.47,35.11,104.75,-26.1484,1.38,6387257
14585.91,124.6,-29.49,34.74,105.41,-26.1797,1.37,6392258
14600.02,124.3,-29.51,35.06,105.27,-26.1797,1.37,6397263
14615.08,123.97,-29.53,34.93,105.08,-26.2031,1.38,6402260
14628.33,123.66,-29.55,34.63,104.75,-26.2422,1.38,6407262
14641.15,123.38,-29.57,34.75,105.27,-26.25,1.38,6412263
14654.46,123.09,-29.6,34.52,105.8,-26.2812,1.38,6417264
14668.25,122.8,-29.62,34.66,105.01,-26.3125,1.38,6422265
14682.07,122.5,-29.64,34.82,105.34,-26.3359,1.38,6427275
14696.37,122.2,-29.66,34.72,105.14,-26.3437,1.38,6432268
14709.79,121.89,-29.68,34.9,105.41,-26.3672,1.39,6437269
14724.62,121.58,-29.7,34.54,104.75,-26.3906,1.39,6442270
14739.01,121.28,-29.73,34.41,105.21,-26.4219,1.38,6447271
14753.9,120.96,-29.75,34.47,105.61,-26.4453,1.39,6452273
14769.29,120.63,-29.78,34.41,106,-26.4766,1.39,6457278
14783.31,120.32,-29.8,34.56,105.61,-26.4844,1.39,6462275
14797.83,120.02,-29.82,34.64,105.8,-26.5234,1.39,6467278
14812.38,119.71,-29.84,34.54,105.67,-26.5469,1.39,6472278
14826.49,119.4,-29.87,34.56,105.8,-26.5625,1.4,6477279
14841.57,119.09,-29.89,34.21,105.47,-26.5937,1.4,6482280
14856.21,118.77,-29.91,34.51,106.68,-26.6094,1.4,6487285
14869.93,118.48,-29.93,34.47,105.8,-26.6328,1.4,6492282
14885.1,118.17,-29.96,34.16,105.87,-26.6484,1.4,6497284
14900.31,117.85,-29.98,34.52,105.74,-26.6797,1.4,6502285
